Date,Fallacy,Label,Subcategory,arg_comp,arg_rel,Context,bio_tags,pos_tags
2016,"We saw him after the first debate spend nearly a week denigrating a former Miss Universe in the harshest, most personal terms.",AdHominem,Ad hominem,Premise,Support,"We’ve seen him embarrass women on TV and on Twitter. We saw him after the first debate spend nearly a week denigrating a former Miss Universe in the harshest, most personal terms. So, yes, this is who Donald Trump is.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","PRON,AUX,VERB,PRON,VERB,NOUN,ADP,NOUN,CCONJ,ADP,PROPN,PUNCT,PRON,VERB,PRON,SCONJ,DET,ADJ,NOUN,VERB,ADV,PRON,NOUN,VERB,DET,ADJ,PROPN,PROPN,ADP,DET,ADJ,PUNCT,ADJ,ADJ,NOUN,PUNCT,ADV,PUNCT,INTJ,PUNCT,PRON,AUX,PRON,PROPN,PROPN,AUX,PUNCT"
1960,retreat,AppealtoEmotion,Loaded Language,Premise,,"Is the United States standing still? Is it true that this Administration, as Senator Kennedy has charged, has been an Administration of retreat, of defeat, of stagnation? Is it true that, as far as this country is concerned, in the field of electric power, in all of the fields that he has mentioned, we have not been moving ahead.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AppealtoEmotion', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","AUX,DET,PROPN,PROPN,VERB,ADV,PUNCT,AUX,PRON,ADJ,SCONJ,DET,PROPN,PUNCT,SCONJ,PROPN,PROPN,AUX,VERB,PUNCT,AUX,AUX,DET,PROPN,ADP,NOUN,PUNCT,ADP,NOUN,PUNCT,ADP,NOUN,PUNCT,AUX,PRON,ADJ,SCONJ,PUNCT,ADV,ADV,SCONJ,DET,NOUN,AUX,VERB,PUNCT,ADP,DET,NOUN,ADP,ADJ,NOUN,PUNCT,ADP,PRON,ADP,DET,NOUN,PRON,PRON,AUX,VERB,PUNCT,PRON,AUX,PART,AUX,VERB,ADV,PUNCT"
1996,withering on the vine,AppealtoEmotion,Loaded Language,Premise,,"The Kennedy - Kassebaum bill that I signed will make it possible for 25 million people to keep their health insurance when they change jobs or when somebody in their family's been sick. I signed a bill to stop these drive - by deliveries when insurance companies can force people out of the hospital after 24 hours and I vetoed Senator Dole's Medicare plan that would have forced a lot of seniors into managed care and taken a lot more money out of their pockets and led to Medicare withering on the vine. Well, many of the provisions in the Kassebaum bill were provisions that -- my provisions, like deductions for long - term care, making certain that self - employed people that are watching tonight can deduct not 30 percent but 80 percent of you pay for premiums.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","DET,PROPN,PUNCT,PROPN,NOUN,PRON,PRON,VERB,AUX,VERB,PRON,ADJ,SCONJ,NUM,NUM,NOUN,PART,VERB,PRON,NOUN,NOUN,SCONJ,PRON,VERB,NOUN,CCONJ,SCONJ,PRON,ADP,PRON,NOUN,AUX,AUX,ADJ,PUNCT,PRON,VERB,DET,NOUN,PART,VERB,DET,NOUN,PUNCT,ADP,NOUN,SCONJ,NOUN,NOUN,AUX,VERB,NOUN,ADP,ADP,DET,NOUN,ADP,NUM,NOUN,CCONJ,PRON,VERB,PROPN,PROPN,PART,PROPN,NOUN,PRON,AUX,AUX,VERB,DET,NOUN,ADP,NOUN,ADP,VERB,NOUN,CCONJ,VERB,DET,NOUN,ADJ,NOUN,ADP,ADP,PRON,NOUN,CCONJ,VERB,ADP,PROPN,VERB,ADP,DET,NOUN,PUNCT,INTJ,PUNCT,ADJ,ADP,DET,NOUN,ADP,DET,PROPN,NOUN,AUX,NOUN,PRON,PUNCT,PRON,NOUN,PUNCT,ADP,NOUN,ADP,ADJ,PUNCT,NOUN,NOUN,PUNCT,VERB,ADJ,DET,NOUN,PUNCT,VERB,NOUN,PRON,AUX,VERB,NOUN,AUX,VERB,PART,NUM,NOUN,CCONJ,NUM,NOUN,ADP,PRON,VERB,ADP,NOUN,PUNCT"
2004,"Well, two leading national news networks have both said the president's characterization of my health - care plan is incorrect. One called it fiction. The other called it untrue.",AppealtoAuthority,Without Evidence,Premise,,"Well, two leading national news networks have both said the president's characterization of my health - care plan is incorrect. One called it fiction. The other called it untrue. The fact is that my health - care plan, America, is very simple.","['B-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","INTJ,PUNCT,NUM,VERB,ADJ,NOUN,NOUN,AUX,PRON,VERB,DET,NOUN,PART,NOUN,ADP,PRON,NOUN,PUNCT,NOUN,NOUN,AUX,ADJ,PUNCT,NUM,VERB,PRON,NOUN,PUNCT,DET,ADJ,VERB,PRON,ADJ,PUNCT,DET,NOUN,AUX,SCONJ,PRON,NOUN,PUNCT,NOUN,NOUN,PUNCT,PROPN,PUNCT,AUX,ADV,ADJ,PUNCT"
2000,the old guard,AppealtoEmotion,Loaded Language,Premise,Support,Whether or not he's willing to support the forces of freedom and democracy diplomatically there in the area of eastern Europe. And it's a test for him whether he represents the old guard in the Soviet Union. One of the most important challenges we face as a nation is how we manage that process of integrating those 150 million eastern Europeans into the security and economic framework of Europe.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","SCONJ,CCONJ,PART,PRON,AUX,ADJ,PART,VERB,DET,NOUN,ADP,NOUN,CCONJ,NOUN,ADV,ADV,ADP,DET,NOUN,ADP,ADJ,PROPN,PUNCT,CCONJ,PRON,AUX,DET,NOUN,ADP,PRON,SCONJ,PRON,VERB,DET,ADJ,NOUN,ADP,DET,PROPN,PROPN,PUNCT,NUM,ADP,DET,ADV,ADJ,NOUN,PRON,VERB,ADP,DET,NOUN,AUX,SCONJ,PRON,VERB,DET,NOUN,ADP,VERB,DET,NUM,NUM,ADJ,PROPN,ADP,DET,NOUN,CCONJ,ADJ,NOUN,ADP,PROPN,PUNCT"
2016,you were totally out of control,AdHominem,Ad hominem,Premise,Support,"She does not have a… Wait. The AFL - CIO the other day, behind the blue screen, I don't know who you were talking to, Secretary Clinton, but you were totally out of control. I said, there's a person with a temperament that's got a problem.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","PRON,AUX,PART,VERB,DET,PUNCT,VERB,PUNCT,DET,PROPN,PUNCT,PROPN,DET,ADJ,NOUN,PUNCT,ADP,DET,ADJ,NOUN,PUNCT,PRON,AUX,PART,VERB,PRON,PRON,AUX,VERB,ADP,PUNCT,PROPN,PROPN,PUNCT,CCONJ,PRON,AUX,ADV,ADP,ADP,NOUN,PUNCT,PRON,VERB,PUNCT,PRON,VERB,DET,NOUN,ADP,DET,NOUN,PRON,AUX,VERB,DET,NOUN,PUNCT"
1996,"So Congress passes the law, the President signs it, like he does a lot of things. But he, like welfare reform, I'm going to sign it but I'm going to try to change it next year.",AdHominem,Circumstantial Ad hominem,Premise,Support,"In my view, the policy has failed. So Congress passes the law, the President signs it, like he does a lot of things. But he, like welfare reform, I'm going to sign it but I'm going to try to change it next year. A lot of these election - year conversions, the President talks about the drug money, and all the other things, all this antismoking campaign all happened in 1996.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","ADP,PRON,NOUN,PUNCT,DET,NOUN,AUX,VERB,PUNCT,ADV,PROPN,VERB,DET,NOUN,PUNCT,DET,PROPN,VERB,PRON,PUNCT,SCONJ,PRON,VERB,DET,NOUN,ADP,NOUN,PUNCT,CCONJ,PRON,PUNCT,ADP,NOUN,NOUN,PUNCT,PRON,AUX,VERB,PART,VERB,PRON,CCONJ,PRON,AUX,VERB,PART,VERB,PART,VERB,PRON,ADJ,NOUN,PUNCT,DET,NOUN,ADP,DET,NOUN,PUNCT,NOUN,NOUN,PUNCT,DET,PROPN,VERB,ADP,DET,NOUN,NOUN,PUNCT,CCONJ,DET,DET,ADJ,NOUN,PUNCT,DET,DET,NOUN,NOUN,PRON,VERB,ADP,NUM,PUNCT"
1960,That's the argument between Mr. Nixon and myself and on that issue the American people have to make their judgment and I think it's a important judgment.,AppealtoAuthority,Appeal to popular opinion,Claim,,"And that's the debate. That's the argument between Mr. Nixon and myself and on that issue the American people have to make their judgment and I think it's a important judgment. I think in many ways this election is more important than any since 1932, or certainly almost any in this century.","['O', 'O', 'O', 'O', 'B-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","CCONJ,PRON,AUX,DET,NOUN,PUNCT,PRON,AUX,DET,NOUN,ADP,PROPN,PROPN,CCONJ,PRON,CCONJ,ADP,DET,NOUN,DET,ADJ,NOUN,VERB,PART,VERB,PRON,NOUN,CCONJ,PRON,VERB,PRON,AUX,DET,ADJ,NOUN,PUNCT,PRON,VERB,ADP,ADJ,NOUN,DET,NOUN,AUX,ADV,ADJ,ADP,PRON,SCONJ,NUM,PUNCT,CCONJ,ADV,ADV,PRON,ADP,DET,NOUN,PUNCT"
1992,great suspicion,AppealtoEmotion,Loaded Language,Claim,Attack,"I don't say that -- (APPLAUSE.)So I think that should be eyed with great suspicion, people that are really kicking the props out from under our grand military establishment prematurely. Now there's other differences between the Perot approach and what we see up here on either side of me, and that has to do with we want to focus our interests, economic and military, more to the Pacific.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AppealtoEmotion', 'I-AppealtoEmotion', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","PRON,AUX,PART,VERB,PRON,PUNCT,PUNCT,PROPN,PRON,VERB,PRON,AUX,AUX,VERB,ADP,ADJ,NOUN,PUNCT,NOUN,PRON,AUX,ADV,VERB,DET,NOUN,ADP,ADP,ADP,PRON,ADJ,ADJ,NOUN,ADV,PUNCT,ADV,PRON,VERB,ADJ,NOUN,ADP,DET,PROPN,NOUN,CCONJ,PRON,PRON,VERB,ADP,ADV,ADP,DET,NOUN,ADP,PRON,PUNCT,CCONJ,PRON,VERB,PART,VERB,ADP,PRON,VERB,PART,VERB,PRON,NOUN,PUNCT,ADJ,CCONJ,NOUN,PUNCT,ADJ,ADP,DET,PROPN,PUNCT"
2004,a catastrophic mistake,AppealtoEmotion,Loaded Language,Claim,Attack,"(LAUGHTER) But history will look back, and I'm fully prepared to accept any mistakes that history judges to my administration, because the president makes the decisions, the president has to take the responsibility. I believe the president made a huge mistake, a catastrophic mistake, not to live up to his own standard, which was: build a true global coalition, give the inspectors time to finish their job and go through the U. N. process to its end and go to war as a last resort. I ask each of you just to look into your hearts, look into your guts.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","PUNCT,NOUN,PUNCT,CCONJ,NOUN,AUX,VERB,ADV,PUNCT,CCONJ,PRON,AUX,ADV,ADJ,PART,VERB,DET,NOUN,PRON,NOUN,NOUN,ADP,PRON,NOUN,PUNCT,SCONJ,DET,NOUN,VERB,DET,NOUN,PUNCT,DET,NOUN,VERB,PART,VERB,DET,NOUN,PUNCT,PRON,VERB,DET,NOUN,VERB,DET,ADJ,NOUN,PUNCT,DET,ADJ,NOUN,PUNCT,PART,PART,VERB,ADP,ADP,PRON,ADJ,NOUN,PUNCT,PRON,AUX,PUNCT,VERB,DET,ADJ,ADJ,NOUN,PUNCT,VERB,DET,NOUN,NOUN,PART,VERB,PRON,NOUN,CCONJ,VERB,ADP,DET,PROPN,PROPN,NOUN,ADP,PRON,NOUN,CCONJ,VERB,ADP,NOUN,ADP,DET,ADJ,NOUN,PUNCT,PRON,VERB,PRON,ADP,PRON,ADV,PART,VERB,ADP,PRON,NOUN,PUNCT,VERB,ADP,PRON,NOUN,PUNCT"
1960,General Ridgway has said the same thing.,AppealtoAuthority,Without Evidence,Premise,Support,"Admirals Spruance and Callins in 1955 said that we should not attempt to defend these islands, in their conference in the Far East. General Ridgway has said the same thing. I believe that when you get into a w- if you're going to get into war for the defense of Formosa, it ought to be on a clearly defined line.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","NOUN,PROPN,CCONJ,PROPN,ADP,NUM,VERB,SCONJ,PRON,AUX,PART,VERB,PART,VERB,DET,NOUN,PUNCT,ADP,PRON,NOUN,ADP,DET,PROPN,PROPN,PUNCT,PROPN,PROPN,AUX,VERB,DET,ADJ,NOUN,PUNCT,PRON,VERB,SCONJ,SCONJ,PRON,VERB,ADP,DET,NOUN,SCONJ,PRON,AUX,VERB,PART,VERB,ADP,NOUN,ADP,DET,NOUN,ADP,PROPN,PUNCT,PRON,AUX,PART,AUX,ADP,DET,ADV,VERB,NOUN,PUNCT"
2000,will fight for middle - class families and working men and women and I will never let you down.,AppealtoEmotion,Flag waving,Claim,Support,"I have devoted 24 years of my life to public service and I've said this before and I'll say it again, if you entrust me with the presidency, I may not be the most exciting politician, but I will work hard for you every day. I will fight for middle - class families and working men and women and I will never let you down. They ought to factor in it when they go to the voting booth.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","PRON,AUX,VERB,NUM,NOUN,ADP,PRON,NOUN,ADP,ADJ,NOUN,CCONJ,PRON,AUX,VERB,PRON,ADV,CCONJ,PRON,AUX,VERB,PRON,ADV,PUNCT,SCONJ,PRON,VERB,PRON,ADP,DET,NOUN,PUNCT,PRON,AUX,PART,AUX,DET,ADV,ADJ,NOUN,PUNCT,CCONJ,PRON,AUX,VERB,ADV,ADP,PRON,DET,NOUN,PUNCT,PRON,AUX,VERB,ADP,ADJ,PUNCT,NOUN,NOUN,CCONJ,VERB,NOUN,CCONJ,NOUN,CCONJ,PRON,AUX,ADV,VERB,PRON,ADP,PUNCT,PRON,AUX,PART,VERB,ADP,PRON,SCONJ,PRON,VERB,ADP,DET,NOUN,NOUN,PUNCT"
2020,dumbest,AppealtoEmotion,,,,".And rebuild the building. No. It’s the dumbest - That is not, that is not. .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AppealtoEmotion', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","CCONJ,VERB,DET,NOUN,PUNCT,INTJ,PUNCT,PRON,VERB,DET,ADJ,PUNCT,PRON,AUX,PART,PUNCT,PRON,AUX,PART,PUNCT,PUNCT"
2000,"The administration, seems like we're having a great love fest tonight, but the administration made the right decision on training Nigerian troops for situations just such as this in Rwanda, and so I thought they made the right decision not to send U. S. troops into Rwanda.",AppealtoEmotion,Loaded Language,Claim,,"And that's a case where we need to use our influence to have countries in Africa come together and help deal with the situation. The administration, seems like we're having a great love fest tonight, but the administration made the right decision on training Nigerian troops for situations just such as this in Rwanda, and so I thought they made the right decision not to send U. S. troops into Rwanda. I'd like to come back to the question of nation building, but let me address the question directly, first.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","CCONJ,PRON,AUX,DET,NOUN,SCONJ,PRON,VERB,PART,VERB,PRON,NOUN,PART,VERB,NOUN,ADP,PROPN,VERB,ADV,CCONJ,VERB,VERB,ADP,DET,NOUN,PUNCT,DET,NOUN,PUNCT,VERB,SCONJ,PRON,AUX,VERB,DET,ADJ,NOUN,ADJ,NOUN,PUNCT,CCONJ,DET,NOUN,VERB,DET,ADJ,NOUN,ADP,VERB,ADJ,NOUN,ADP,NOUN,ADV,ADJ,ADP,PRON,ADP,PROPN,PUNCT,CCONJ,ADV,PRON,VERB,PRON,VERB,DET,ADJ,NOUN,PART,PART,VERB,PROPN,PROPN,NOUN,ADP,PROPN,PUNCT,PRON,AUX,VERB,PART,VERB,ADV,ADP,DET,NOUN,ADP,NOUN,NOUN,PUNCT,CCONJ,VERB,PRON,VERB,DET,NOUN,ADV,PUNCT,ADV,PUNCT"
2016,a great display of presidential leadership.,AppealtoEmotion,Loaded Language,Premise,Support,"And, yes, President Lincoln was trying to convince some people, he used some arguments, convincing other people, he used other arguments. That was a great—I thought a great display of presidential leadership. But, you know, let’s talk about what’s really going on here, Martha, because our intelligence community just came out and said in the last few days that the Kremlin, meaning Putin and the Russian government, are directing the attacks, the hacking on American accounts to influence our election.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","CCONJ,PUNCT,INTJ,PUNCT,PROPN,PROPN,AUX,VERB,PART,VERB,DET,NOUN,PUNCT,PRON,VERB,DET,NOUN,PUNCT,VERB,ADJ,NOUN,PUNCT,PRON,VERB,ADJ,NOUN,PUNCT,PRON,AUX,DET,ADJ,PUNCT,PRON,VERB,DET,ADJ,NOUN,ADP,ADJ,NOUN,PUNCT,CCONJ,PUNCT,PRON,VERB,PUNCT,VERB,PRON,VERB,ADP,PRON,AUX,ADV,VERB,ADP,ADV,PUNCT,PROPN,PUNCT,SCONJ,PRON,NOUN,NOUN,ADV,VERB,ADP,CCONJ,VERB,ADP,DET,ADJ,ADJ,NOUN,SCONJ,DET,PROPN,PUNCT,VERB,PROPN,CCONJ,DET,ADJ,NOUN,PUNCT,AUX,VERB,DET,NOUN,PUNCT,DET,NOUN,ADP,ADJ,NOUN,PART,VERB,PRON,NOUN,PUNCT"
